date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-01-01,1.12,12.3,10.6,80.0,98.0,48.0,85.02,0.6,0.0,5.0,12.53
2019-01-02,1.16,13.8,10.6,88.0,98.0,69.0,85.09,0.6,0.0,5.0,12.55
2019-01-03,1.2,15.2,10.5,82.0,98.0,50.0,85.13,0.6,0.0,4.0,11.37
2019-01-04,1.17,13.3,10.9,80.0,98.0,43.0,85.21,0.6,0.0,4.8,12.35
2019-01-05,1.16,13.1,10.9,78.0,98.0,43.0,85.29,0.8,0.0,5.0,12.62
2019-01-06,1.16,13.1,10.9,78.0,98.0,43.0,85.29,0.8,0.0,5.0,12.64
2019-01-07,1.18,13.2,9.7,57.0,96.0,25.0,85.22,1.7,0.0,6.6,14.61
2019-01-08,1.07,13.0,7.9,52.0,96.0,20.0,85.27,2.1,0.0,7.0,15.12
2019-01-09,0.83,13.1,5.8,50.0,98.0,18.0,85.44,1.9,0.0,3.0,10.29
2019-01-10,1.12,15.3,9.0,58.0,98.0,29.0,85.39,1.1,0.0,6.0,13.97
2019-01-11,1.41,16.0,12.1,74.0,98.0,48.0,85.18,2.1,7.1,8.8,17.43
2019-01-12,1.28,14.6,11.5,86.0,98.0,58.0,85.29,0.6,0.0,6.0,14.04
2019-01-13,1.21,13.6,11.2,82.0,98.0,48.0,85.37,0.6,0.0,5.4,13.34
2019-01-14,1.24,14.4,11.3,62.0,98.0,34.0,85.3,0.8,1.4,6.0,14.11
2019-01-15,1.38,15.7,12.1,68.0,98.0,47.0,85.37,1.4,0.0,10.8,20.07
2019-01-16,1.28,14.6,11.7,66.0,98.0,38.0,85.33,0.6,0.0,7.8,16.42
2019-01-17,1.38,15.1,12.6,68.0,96.0,45.0,85.35,1.5,0.0,10.8,20.18
2019-01-18,1.26,13.6,10.8,67.0,96.0,43.0,85.22,0.6,0.0,7.4,16.02
2019-01-19,1.17,14.7,10.0,83.0,98.0,48.0,85.26,0.7,0.0,3.0,10.58
2019-01-20,0.98,10.7,9.0,60.0,85.0,38.0,85.41,2.4,0.0,6.0,14.36
2019-01-21,0.98,11.3,8.0,52.0,98.0,21.0,85.23,0.8,0.0,4.5,12.53
2019-01-22,1.06,13.0,8.9,56.0,98.0,28.0,85.17,2.0,0.0,5.0,13.2
2019-01-23,1.16,12.9,10.3,60.0,98.0,30.0,85.12,1.7,0.0,6.6,15.26
2019-01-24,1.04,11.5,8.8,55.0,98.0,26.0,85.04,3.0,0.0,5.4,13.8
2019-01-25,1.02,12.3,8.6,56.0,98.0,25.0,85.12,3.7,0.0,3.4,11.31
2019-01-26,1.11,12.0,10.2,80.0,99.0,43.0,85.16,1.7,0.0,3.0,10.84
2019-01-27,0.84,9.5,7.0,71.0,97.0,31.0,85.24,1.6,0.0,1.0,8.33
2019-01-28,0.68,9.3,4.8,45.0,87.0,16.0,84.99,3.8,0.0,1.0,8.37
2019-01-29,0.87,10.4,7.5,54.0,95.0,23.0,84.95,3.0,0.0,1.0,8.4
2019-01-30,0.89,11.8,7.7,55.0,97.0,28.0,85.03,3.3,0.0,1.5,9.08
2019-01-31,1.02,11.7,9.3,61.0,98.0,34.0,85.15,2.9,0.0,2.8,10.79
