date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-02-01,1.05,11.6,9.3,59.0,98.0,31.0,85.21,2.5,0.0,3.0,11.1
2019-02-02,0.99,10.4,9.5,79.0,99.0,41.0,85.23,0.6,0.0,2.4,10.36
2019-02-03,0.88,9.6,6.9,70.0,95.0,22.0,85.12,1.5,0.0,1.0,8.58
2019-02-04,0.73,8.9,5.4,44.0,92.0,15.0,85.03,2.6,0.0,1.0,8.62
2019-02-05,0.89,11.4,6.9,49.0,92.0,18.0,85.04,2.3,0.0,2.0,9.97
2019-02-06,0.94,11.4,6.5,50.0,95.0,17.0,85.07,3.2,0.0,4.0,12.64
2019-02-07,0.97,10.9,8.0,51.0,95.0,20.0,85.05,2.8,0.0,3.5,12.03
2019-02-08,1.05,12.8,9.1,51.0,89.0,25.0,85.11,3.3,0.0,5.0,14.06
2019-02-09,1.25,13.5,11.2,71.0,94.0,37.0,85.34,0.8,0.0,8.0,18.11
2019-02-10,1.26,13.1,12.4,74.0,96.0,39.0,85.3,0.8,0.0,7.0,16.84
2019-02-11,1.21,13.3,9.1,66.0,96.0,27.0,85.14,0.8,0.0,7.0,16.91
2019-02-12,1.1,12.8,9.2,51.0,96.0,25.0,85.01,2.9,0.0,6.6,16.44
2019-02-13,1.17,14.7,9.9,56.0,96.0,28.0,85.17,4.3,0.0,7.0,17.04
2019-02-14,1.1,12.5,8.7,56.0,98.0,24.0,85.16,2.5,0.0,5.2,14.68
2019-02-15,1.0,12.0,8.3,50.0,98.0,21.0,85.05,1.8,0.0,5.0,14.46
2019-02-16,1.1,12.1,9.7,71.0,98.0,30.0,85.04,1.8,0.0,5.2,14.79
2019-02-17,1.06,11.9,8.7,67.0,96.0,26.0,85.13,1.0,0.0,5.0,14.58
2019-02-18,1.05,11.5,9.4,59.0,98.0,25.0,85.1,3.2,0.0,4.0,13.27
2019-02-19,1.24,13.2,10.6,67.0,98.0,35.0,85.06,3.4,0.0,7.0,17.44
2019-02-20,1.17,13.4,6.7,61.0,98.0,20.0,84.88,2.8,0.0,6.4,16.68
2019-02-21,1.14,12.6,9.5,61.0,89.0,30.0,84.91,2.6,0.0,8.8,20.06
2019-02-22,0.97,10.4,9.0,63.0,85.0,31.0,85.17,2.6,0.0,6.4,16.81
2019-02-23,1.33,14.4,11.1,70.0,90.0,36.0,85.33,1.3,0.0,10.0,21.87
2019-02-24,1.33,14.4,11.1,70.0,90.0,36.0,85.33,1.3,0.0,10.0,21.95
2019-02-25,1.29,14.6,11.3,59.0,94.0,28.0,85.31,1.7,0.0,9.0,20.63
2019-02-26,1.23,14.1,8.1,58.0,96.0,18.0,85.32,1.1,0.0,8.0,19.31
2019-02-27,1.05,11.8,8.2,47.0,82.0,18.0,85.23,0.9,0.0,7.6,18.81
2019-02-28,1.34,14.3,12.2,63.0,98.0,29.0,85.09,2.9,0.0,8.0,19.44
