date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-05-01,1.14,12.2,10.8,50.0,79.0,21.0,85.08,0.9,0.0,9.0,23.44
2019-05-02,1.15,14.4,9.1,45.0,74.0,17.0,85.08,2.8,0.0,8.6,22.84
2019-05-03,0.91,10.5,7.9,41.0,69.0,18.0,85.06,1.1,0.0,9.0,23.45
2019-05-04,0.91,10.5,7.9,41.0,69.0,18.0,85.06,1.1,0.0,9.0,23.46
2019-05-05,1.23,13.5,9.2,54.0,86.0,23.0,84.87,1.9,0.0,9.4,24.07
2019-05-06,0.78,9.8,5.8,32.0,72.0,14.0,84.99,3.4,0.0,7.2,20.72
2019-05-07,0.79,9.3,5.1,32.0,74.0,10.0,85.04,4.0,0.0,4.4,16.46
2019-05-08,0.81,10.3,6.3,31.0,70.0,13.0,84.92,3.9,0.0,4.8,17.08
2019-05-09,0.85,10.6,5.5,34.0,64.0,13.0,84.76,2.9,0.0,8.0,21.95
2019-05-10,0.88,12.0,6.4,39.0,77.0,15.0,84.84,4.5,0.0,5.0,17.39
2019-05-11,1.25,13.9,11.5,57.0,91.0,31.0,84.92,2.2,0.0,6.0,18.91
2019-05-12,1.16,13.1,9.4,58.0,94.0,22.0,85.03,0.7,0.0,7.0,20.43
2019-05-13,1.09,16.6,7.2,42.0,88.0,15.0,84.93,3.1,0.0,6.8,20.13
2019-05-14,1.11,13.0,8.8,42.0,88.0,18.0,84.93,4.2,0.0,7.0,20.44
2019-05-15,0.96,11.8,7.2,39.0,81.0,15.0,84.95,3.8,0.0,6.2,19.22
2019-05-16,0.93,12.6,6.4,33.0,79.0,13.0,85.04,3.0,0.0,9.5,24.23
2019-05-17,1.22,12.2,9.8,43.0,84.0,20.0,84.98,3.5,0.0,9.0,23.47
2019-05-18,1.31,14.4,11.2,59.0,89.0,27.0,85.02,2.5,0.0,8.0,21.95
2019-05-19,1.25,14.0,9.0,54.0,92.0,17.0,84.98,2.5,0.0,8.4,22.55
2019-05-20,1.29,15.0,10.7,43.0,90.0,20.0,84.87,3.2,0.0,9.0,23.46
2019-05-21,1.18,15.2,8.6,43.0,94.0,17.0,84.73,2.9,0.0,9.2,23.76
2019-05-22,1.4,15.9,11.0,48.0,96.0,22.0,84.8,2.4,0.0,10.0,24.96
2019-05-23,1.11,15.8,6.7,40.0,96.0,12.0,84.87,2.0,0.0,9.6,24.35
2019-05-24,1.32,16.4,9.3,43.0,89.0,18.0,84.87,3.1,0.0,11.4,27.07
2019-05-25,1.43,16.2,12.1,59.0,89.0,28.0,85.03,1.5,0.0,11.4,27.06
2019-05-26,1.88,19.5,16.6,76.0,98.0,42.0,85.19,0.6,25.3,15.0,32.48
2019-05-27,1.67,19.3,13.9,55.0,91.0,33.0,84.99,2.1,0.0,15.0,32.48
2019-05-28,1.48,18.2,10.9,52.0,96.0,27.0,84.82,2.1,0.0,13.0,29.45
2019-05-29,1.73,19.3,15.3,55.0,88.0,34.0,84.7,1.9,0.0,16.4,34.57
2019-05-30,1.59,19.4,12.5,53.0,96.0,25.0,84.81,3.5,0.0,13.8,30.64
2019-05-31,1.86,21.0,16.0,62.0,91.0,34.0,84.87,1.8,8.8,15.0,32.44
