date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-11-01,1.78,19.8,15.1,69.0,96.0,47.0,85.35,1.1,0.0,14.8,26.8
2019-11-02,1.7,19.0,15.2,79.0,96.0,61.0,85.34,1.3,17.8,10.0,20.43
2019-11-03,1.75,17.8,17.2,79.0,94.0,59.0,85.34,1.6,0.0,14.0,25.57
2019-11-04,1.83,21.1,15.6,74.0,98.0,51.0,85.11,0.9,7.8,10.6,21.06
2019-11-05,1.9,20.5,16.3,75.0,98.0,58.0,85.14,0.9,0.0,11.0,21.51
2019-11-06,1.71,18.9,15.4,68.0,98.0,52.0,85.23,1.9,0.0,10.0,20.14
2019-11-07,1.88,21.3,17.0,71.0,96.0,49.0,85.19,1.2,0.0,11.4,21.87
2019-11-08,1.76,18.7,16.2,67.0,98.0,46.0,85.14,2.1,0.0,12.0,22.57
2019-11-09,1.61,17.0,15.2,72.0,86.0,54.0,85.34,1.8,0.0,11.0,21.21
2019-11-10,1.74,18.6,16.8,78.0,96.0,55.0,85.37,0.9,0.0,12.0,22.42
2019-11-11,1.83,20.7,16.4,71.0,98.0,51.0,85.1,1.4,0.0,12.4,22.85
2019-11-12,1.77,18.8,16.8,83.0,96.0,51.0,85.09,0.8,25.2,12.6,23.03
2019-11-13,1.67,17.8,15.3,84.0,98.0,67.0,85.12,2.7,0.1,12.0,22.2
2019-11-14,1.67,18.5,14.4,76.0,98.0,57.0,85.19,1.3,0.0,8.4,17.59
2019-11-15,1.76,19.4,16.3,77.0,96.0,63.0,85.26,1.5,0.0,12.0,22.06
2019-11-16,1.75,19.1,16.3,81.0,94.0,62.0,85.23,1.5,0.0,11.0,20.74
2019-11-17,1.7,17.4,16.8,85.0,96.0,70.0,85.14,2.4,0.0,11.8,21.67
2019-11-18,1.82,19.5,17.2,74.0,96.0,54.0,85.02,1.1,0.0,13.4,23.61
2019-11-19,1.91,20.6,16.5,76.0,94.0,59.0,85.06,2.4,0.0,12.0,21.8
2019-11-20,1.82,19.9,16.4,74.0,94.0,59.0,85.15,2.2,0.0,11.0,20.49
2019-11-21,1.78,20.2,14.4,76.0,98.0,53.0,85.18,2.6,0.0,9.0,17.96
2019-11-22,1.86,20.9,17.2,72.0,98.0,49.0,85.12,1.2,0.0,13.0,22.85
2019-11-23,1.84,20.4,16.7,85.0,98.0,62.0,85.19,2.0,0.0,13.0,22.79
2019-11-24,1.81,20.7,16.5,88.0,98.0,63.0,85.27,1.6,0.0,11.8,21.26
2019-11-25,1.82,21.0,15.7,77.0,96.0,56.0,84.98,2.5,0.0,10.4,19.48
2019-11-26,1.79,19.9,17.0,71.0,90.0,56.0,84.93,2.3,0.0,14.0,23.85
2019-11-27,1.7,19.8,14.5,71.0,96.0,48.0,85.09,3.6,0.0,8.6,17.19
2019-11-28,1.51,17.3,12.6,71.0,98.0,43.0,85.35,2.8,0.0,7.0,15.2
2019-11-29,1.58,19.1,13.3,73.0,98.0,39.0,85.41,1.1,0.0,8.0,16.38
2019-11-30,1.46,16.7,12.7,79.0,95.0,50.0,85.26,1.5,0.0,7.0,15.13
