date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-09-01,1.91,20.9,17.4,81.0,96.0,59.0,85.25,0.7,0.0,12.4,27.92
2019-09-02,2.1,24.2,18.4,79.0,96.0,59.0,85.12,1.2,4.0,14.0,30.29
2019-09-03,1.85,21.1,15.9,68.0,94.0,42.0,84.94,1.0,1.2,12.4,27.85
2019-09-04,2.04,21.9,18.7,76.0,94.0,54.0,85.02,2.8,21.0,14.4,30.81
2019-09-05,1.88,20.7,16.6,66.0,96.0,48.0,85.29,2.8,0.0,13.4,29.27
2019-09-06,2.0,21.9,18.0,77.0,91.0,60.0,85.31,1.0,5.0,17.0,34.61
2019-09-07,1.91,20.0,18.1,82.0,91.0,64.0,85.33,0.7,0.1,14.6,30.97
2019-09-08,1.94,19.8,19.2,81.0,94.0,57.0,85.33,1.3,24.9,15.0,31.52
2019-09-09,1.93,22.2,17.8,74.0,94.0,52.0,85.18,2.1,3.9,13.8,29.68
2019-09-10,1.97,21.3,18.9,76.0,96.0,52.0,85.17,3.4,16.5,14.0,29.93
2019-09-11,1.95,21.8,17.9,77.0,96.0,49.0,85.18,2.8,0.5,13.8,29.58
2019-09-12,2.06,23.1,18.9,78.0,96.0,58.0,85.04,0.7,6.8,14.8,31.02
2019-09-13,1.95,21.6,18.3,77.0,92.0,61.0,85.08,0.6,12.0,14.4,30.37
2019-09-14,1.93,20.9,17.3,85.0,96.0,69.0,85.22,0.8,39.6,15.6,32.09
2019-09-15,1.91,19.6,18.6,81.0,94.0,66.0,85.23,0.6,17.4,15.0,31.14
2019-09-16,1.98,22.3,17.6,75.0,98.0,59.0,85.11,0.8,1.4,13.2,28.42
2019-09-17,2.02,22.3,17.4,75.0,96.0,61.0,85.09,0.7,0.0,13.4,28.66
2019-09-18,2.02,21.0,18.9,79.0,96.0,66.0,85.08,2.1,19.0,16.2,32.72
2019-09-19,1.92,19.4,19.0,93.0,96.0,89.0,85.05,2.5,3.7,14.4,30.0
2019-09-20,1.89,20.7,17.4,72.0,96.0,57.0,84.99,2.5,0.0,14.0,29.35
2019-09-21,1.91,20.8,18.1,80.0,96.0,57.0,85.16,0.9,0.1,13.0,27.82
2019-09-22,2.01,21.6,19.0,83.0,94.0,65.0,85.22,0.8,0.0,15.0,30.68
2019-09-23,2.09,22.3,19.5,77.0,94.0,58.0,85.2,0.8,1.2,16.0,32.06
2019-09-24,2.06,22.7,18.9,76.0,96.0,50.0,85.03,1.2,25.5,15.8,31.7
2019-09-25,1.95,21.9,17.2,76.0,96.0,59.0,85.06,2.8,1.4,13.0,27.55
2019-09-26,2.02,21.6,18.3,72.0,98.0,52.0,84.99,1.2,0.0,15.0,30.38
2019-09-27,2.08,21.8,19.4,71.0,95.0,52.0,84.73,2.8,0.0,17.0,33.2
2019-09-28,2.08,21.7,19.6,85.0,96.0,62.0,84.76,0.7,2.1,17.0,33.11
2019-09-29,2.04,21.7,19.3,91.0,98.0,84.0,84.68,0.7,39.8,15.8,31.29
2019-09-30,1.86,19.7,17.7,82.0,96.0,71.0,84.96,3.8,1.1,15.0,30.06
