date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-04-01,1.42,16.4,12.5,53.0,89.0,32.0,84.96,4.3,0.0,8.4,21.89
2020-04-02,1.26,13.9,10.7,47.0,84.0,29.0,84.96,3.1,0.0,6.0,18.3
2020-04-03,1.31,14.2,11.7,49.0,84.0,31.0,84.92,4.2,0.0,7.0,19.85
2020-04-04,1.25,13.9,11.5,61.0,86.0,33.0,85.03,4.0,0.0,6.0,18.37
2020-04-05,1.06,12.2,9.2,56.0,79.0,24.0,85.02,3.7,0.0,5.0,16.88
2020-04-06,1.03,12.9,9.1,41.0,76.0,23.0,85.11,5.2,0.0,5.0,16.91
2020-04-07,0.98,13.3,8.0,39.0,79.0,18.0,85.2,5.0,0.0,5.0,16.94
2020-04-08,0.94,11.6,7.1,37.0,84.0,16.0,85.18,3.1,0.0,5.0,16.97
2020-04-09,1.04,12.4,9.0,38.0,75.0,20.0,85.14,3.3,0.0,4.4,16.08
2020-04-10,1.08,13.3,9.5,40.0,78.0,21.0,85.07,4.0,0.0,5.6,17.93
2020-04-11,1.21,13.8,10.9,55.0,81.0,27.0,85.07,3.8,0.0,8.0,21.61
2020-04-12,1.38,14.8,12.6,66.0,96.0,35.0,85.12,3.2,0.0,8.0,21.63
2020-04-13,1.23,14.7,11.1,46.0,86.0,27.0,85.25,3.7,0.0,6.0,18.61
2020-04-14,1.03,12.6,8.5,41.0,76.0,19.0,85.09,5.5,0.0,4.0,15.58
2020-04-15,0.99,11.1,9.1,38.0,79.0,20.0,85.05,4.2,0.0,3.0,14.08
2020-04-16,1.0,11.8,7.5,38.0,75.0,17.0,85.15,4.1,0.0,5.0,17.15
2020-04-17,1.25,14.1,9.9,44.0,68.0,32.0,85.3,4.6,0.0,8.0,21.74
2020-04-18,1.38,15.6,11.8,62.0,83.0,38.0,85.35,3.4,0.0,8.0,21.76
2020-04-19,1.51,16.5,13.2,67.0,89.0,36.0,85.24,3.5,0.0,8.8,23.0
2020-04-20,1.63,18.4,14.6,54.0,92.0,32.0,85.03,4.2,0.0,9.4,23.93
2020-04-21,1.56,17.9,12.7,50.0,94.0,28.0,85.02,4.1,0.0,9.0,23.34
2020-04-22,1.65,17.5,14.3,54.0,90.0,37.0,85.06,4.3,0.0,11.0,26.41
2020-04-23,1.26,14.5,11.1,42.0,75.0,28.0,84.94,4.3,0.0,8.0,21.84
2020-04-24,1.37,15.5,12.0,49.0,89.0,30.0,84.99,4.1,0.0,6.8,20.02
2020-04-25,1.44,16.4,11.7,63.0,83.0,34.0,85.09,3.2,0.0,8.0,21.87
2020-04-26,1.09,12.2,9.1,46.0,77.0,24.0,85.29,3.4,0.0,8.0,21.88
2020-04-27,1.34,16.4,10.7,44.0,72.0,28.0,85.25,4.6,0.0,8.2,22.19
2020-04-28,1.32,14.9,11.5,45.0,83.0,29.0,85.21,4.3,0.0,7.8,21.59
2020-04-29,1.19,13.4,9.9,39.0,70.0,24.0,85.07,2.8,0.0,6.4,19.47
2020-04-30,1.3,14.7,10.6,39.0,60.0,25.0,85.13,4.1,0.0,10.0,24.97
