date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-08-01,1.98,20.8,19.0,80.0,89.0,65.0,85.28,1.4,6.1,16.0,33.85
2020-08-02,1.98,20.8,19.0,80.0,89.0,65.0,85.28,1.4,0.0,16.0,33.85
2020-08-03,1.97,20.3,18.8,87.0,94.0,70.0,85.38,0.9,6.4,16.0,33.84
2020-08-04,2.0,21.9,18.7,86.0,96.0,68.0,85.36,2.2,0.0,14.0,30.82
2020-08-05,2.03,22.5,18.2,82.0,94.0,63.0,85.25,1.3,0.9,14.0,30.82
2020-08-06,1.96,23.3,16.8,74.0,96.0,59.0,85.07,2.0,0.1,10.8,25.98
2020-08-07,1.89,20.7,17.2,68.0,96.0,53.0,85.09,2.1,0.0,11.2,26.57
2020-08-08,1.89,19.8,17.8,73.0,92.0,56.0,85.18,1.9,7.8,13.0,29.29
2020-08-09,2.01,20.7,19.4,88.0,96.0,81.0,85.3,2.1,1.5,15.0,32.3
2020-08-10,1.83,20.4,15.9,65.0,96.0,41.0,85.21,1.0,1.8,11.4,26.85
2020-08-11,2.01,21.6,18.8,78.0,91.0,58.0,85.03,1.2,27.8,14.8,31.98
2020-08-12,1.94,21.1,17.9,72.0,96.0,54.0,85.07,2.6,0.0,13.8,30.46
2020-08-13,1.72,18.5,15.8,70.0,90.0,54.0,85.13,1.9,0.1,14.0,30.75
2020-08-14,1.9,21.2,17.3,72.0,90.0,50.0,85.12,0.9,6.0,12.2,28.01
2020-08-15,1.7,20.2,15.1,75.0,92.0,58.0,85.08,2.0,3.7,10.0,24.67
2020-08-16,1.68,19.1,16.1,79.0,96.0,60.0,85.24,2.3,0.0,11.0,26.17
2020-08-17,1.8,19.7,16.5,67.0,90.0,48.0,85.23,2.4,2.0,12.0,27.67
2020-08-18,1.86,20.3,17.7,75.0,92.0,57.0,85.26,2.5,3.4,14.0,30.67
2020-08-19,1.83,19.8,16.8,69.0,96.0,51.0,85.13,2.5,0.0,11.2,26.42
2020-08-20,1.9,22.4,16.8,69.0,94.0,43.0,84.98,1.1,0.3,11.0,26.1
2020-08-21,2.05,22.1,18.9,72.0,96.0,55.0,84.99,1.6,0.0,14.6,31.52
2020-08-22,2.04,21.8,19.2,78.0,93.0,60.0,84.96,1.9,14.2,16.0,33.61
2020-08-23,1.98,20.4,19.3,81.0,96.0,60.0,84.96,1.1,2.0,13.0,29.06
2020-08-24,1.87,20.0,15.8,66.0,92.0,46.0,84.88,1.1,0.2,13.6,29.94
2020-08-25,1.93,22.3,18.1,68.0,91.0,49.0,84.76,2.5,26.3,14.0,30.51
2020-08-26,2.04,21.9,19.4,73.0,94.0,56.0,84.67,3.0,27.9,15.0,31.99
2020-08-27,1.95,20.6,18.6,88.0,96.0,77.0,84.89,4.5,1.5,14.8,31.66
2020-08-28,2.04,21.1,19.1,83.0,96.0,67.0,85.15,1.4,25.4,16.0,33.44
2020-08-29,1.97,20.9,17.7,86.0,96.0,67.0,85.17,1.8,5.6,15.0,31.9
2020-08-30,2.14,22.0,20.9,89.0,96.0,72.0,85.07,2.1,4.2,16.0,33.36
2020-08-31,1.9,19.8,18.4,70.0,87.0,55.0,85.11,2.3,0.2,16.0,33.33
