date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-12-01,1.53,16.8,14.5,81.0,96.0,55.0,85.27,4.5,0.0,10.2,18.95
2020-12-02,1.31,15.5,11.4,76.0,91.0,51.0,85.22,4.0,0.0,7.0,15.04
2020-12-03,1.36,15.5,10.5,67.0,93.0,49.0,85.07,4.8,0.0,5.2,12.84
2020-12-04,1.62,16.6,15.7,74.0,94.0,61.0,85.11,3.6,0.0,13.0,22.22
2020-12-05,1.54,18.0,14.0,82.0,96.0,53.0,85.33,3.6,0.0,9.4,17.85
2020-12-06,1.42,15.0,13.6,79.0,91.0,59.0,85.22,3.6,0.0,10.0,18.55
2020-12-07,1.55,18.0,14.3,72.0,86.0,62.0,85.23,1.2,0.5,12.0,20.93
2020-12-08,1.4,15.4,12.6,63.0,91.0,39.0,85.37,2.3,0.0,9.4,17.78
2020-12-09,1.45,15.4,13.6,77.0,93.0,52.0,85.55,2.5,0.0,8.6,16.8
2020-12-10,1.51,16.3,13.7,72.0,98.0,50.0,85.28,3.2,0.0,9.2,17.51
2020-12-11,1.51,16.1,13.9,68.0,98.0,43.0,85.06,2.8,0.0,9.4,17.73
2020-12-12,1.38,16.1,11.8,81.0,98.0,57.0,85.13,2.7,0.0,6.0,13.65
2020-12-13,1.55,16.9,14.7,80.0,96.0,54.0,85.25,3.1,0.0,10.0,18.42
2020-12-14,1.42,16.3,12.9,63.0,93.0,41.0,85.2,3.9,0.0,8.6,16.74
2020-12-15,1.42,15.7,12.3,68.0,98.0,50.0,85.12,3.6,0.0,6.8,14.58
2020-12-16,1.24,14.0,9.7,63.0,98.0,30.0,84.98,3.8,0.0,7.0,14.81
2020-12-17,1.2,14.9,9.0,61.0,95.0,28.0,85.18,3.3,0.0,4.6,11.94
2020-12-18,1.07,13.4,9.6,56.0,87.0,31.0,85.36,3.8,0.0,4.0,11.23
2020-12-19,1.04,12.2,9.2,73.0,92.0,45.0,85.43,1.2,0.0,3.0,10.03
2020-12-20,1.07,11.6,9.7,71.0,92.0,39.0,85.24,2.1,0.0,3.0,10.03
2020-12-21,1.07,12.3,9.3,68.0,85.0,39.0,85.25,2.4,0.0,4.0,11.23
2020-12-22,1.11,13.8,9.6,74.0,92.0,48.0,85.47,1.9,0.0,3.0,10.04
2020-12-23,1.09,12.2,9.6,71.0,87.0,43.0,85.4,2.3,0.0,4.0,11.24
2020-12-24,0.96,10.3,8.8,67.0,87.0,33.0,85.32,0.5,0.0,2.6,9.57
2020-12-25,0.88,9.4,7.7,56.0,85.0,38.0,85.41,2.8,0.0,3.0,10.06
2020-12-26,0.86,9.5,7.7,67.0,86.0,34.0,85.31,2.8,0.0,1.0,7.67
2020-12-27,0.86,9.5,7.7,67.0,86.0,34.0,85.31,2.8,0.0,1.0,7.68
2020-12-28,0.88,10.1,7.9,68.0,86.0,36.0,85.25,2.5,0.0,1.0,7.69
2020-12-29,0.91,10.5,7.9,69.0,95.0,30.0,85.24,3.8,0.0,2.0,8.9
2020-12-30,0.91,10.8,7.6,73.0,89.0,45.0,84.99,5.9,0.0,1.0,7.71
2020-12-31,1.06,11.1,10.0,74.0,86.0,54.0,84.74,4.1,0.0,1.0,7.72
