date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-07-01,2.07,22.9,18.8,76.0,96.0,50.0,85.05,1.6,23.8,14.0,30.78
2020-07-02,1.99,20.9,19.0,81.0,94.0,65.0,85.14,1.2,3.5,14.0,30.78
2020-07-03,2.01,21.6,18.9,77.0,96.0,56.0,85.15,2.4,6.4,15.0,32.28
2020-07-04,2.06,22.6,19.8,81.0,99.0,64.0,85.23,1.0,13.8,16.0,33.77
2020-07-05,1.93,21.1,18.1,79.0,96.0,56.0,85.21,2.6,0.2,12.0,27.79
2020-07-06,2.02,21.4,18.7,68.0,94.0,46.0,85.05,2.0,8.8,13.8,30.49
2020-07-07,1.8,19.2,16.3,67.0,96.0,48.0,85.15,2.4,0.2,13.4,29.89
2020-07-08,1.93,19.9,18.5,78.0,94.0,69.0,85.17,3.5,0.5,15.4,32.89
2020-07-09,1.97,21.4,18.2,72.0,94.0,53.0,85.18,2.2,0.0,14.0,30.79
2020-07-10,1.83,19.6,17.1,64.0,84.0,41.0,85.24,1.6,0.0,16.0,33.79
2020-07-11,1.87,20.6,17.3,75.0,88.0,67.0,85.29,1.2,7.0,14.0,30.8
2020-07-12,2.01,21.1,18.7,80.0,96.0,53.0,85.33,2.6,0.0,15.0,32.3
2020-07-13,1.97,21.5,17.8,71.0,94.0,54.0,85.25,1.5,1.9,12.0,27.8
2020-07-14,2.08,23.2,18.7,68.0,94.0,49.0,85.19,1.8,0.1,13.6,30.21
2020-07-15,1.95,21.6,17.7,66.0,90.0,49.0,85.18,2.0,0.4,12.8,29.01
2020-07-16,1.89,20.7,16.3,75.0,92.0,45.0,85.27,2.7,25.5,16.0,33.81
2020-07-17,1.83,19.4,17.3,68.0,96.0,45.0,85.26,2.3,0.0,12.0,27.81
2020-07-18,1.91,21.6,16.4,81.0,92.0,71.0,85.25,0.6,3.4,12.0,27.81
2020-07-19,1.94,20.6,17.5,76.0,94.0,58.0,85.14,1.3,1.2,12.2,28.12
2020-07-20,1.83,21.0,15.5,64.0,96.0,39.0,85.1,0.6,0.0,11.0,26.31
2020-07-21,1.97,22.2,17.6,64.0,92.0,41.0,85.0,3.6,0.0,13.2,29.62
2020-07-22,2.05,21.3,19.2,79.0,94.0,57.0,85.11,2.9,0.6,13.2,29.62
2020-07-23,2.04,21.4,18.8,76.0,96.0,62.0,85.08,2.7,0.3,13.0,29.33
2020-07-24,2.07,22.2,18.7,73.0,94.0,53.0,85.06,2.1,0.4,13.0,29.33
2020-07-25,2.02,21.7,18.7,80.0,92.0,64.0,85.02,2.6,1.6,15.0,32.34
2020-07-26,2.06,21.7,19.9,83.0,94.0,60.0,85.1,2.4,0.0,14.6,31.74
2020-07-27,1.79,19.4,15.9,65.0,87.0,44.0,85.05,3.1,0.0,15.0,32.34
2020-07-28,1.94,21.3,17.2,70.0,94.0,49.0,85.01,2.8,21.1,13.0,29.33
2020-07-29,2.06,21.7,20.0,82.0,98.0,65.0,85.06,3.6,7.0,14.6,31.74
2020-07-30,2.05,21.7,19.2,82.0,98.0,63.0,85.19,3.0,0.1,15.0,32.34
2020-07-31,2.02,21.3,19.2,87.0,94.0,68.0,85.23,2.7,0.3,15.0,32.34
