date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-03-01,1.44,16.9,12.4,64.0,95.0,31.0,85.15,1.9,0.0,7.0,18.16
2020-03-02,1.44,16.9,12.4,64.0,95.0,31.0,85.15,1.9,0.0,7.0,18.23
2020-03-03,1.22,15.3,8.8,63.0,90.0,26.0,85.01,4.1,0.0,5.0,15.44
2020-03-04,1.24,14.2,10.3,66.0,92.0,40.0,85.11,2.8,0.0,5.0,15.5
2020-03-05,1.26,14.5,11.1,74.0,93.0,45.0,85.21,2.2,0.0,6.0,16.98
2020-03-06,1.36,16.6,11.7,64.0,91.0,41.0,85.37,2.2,0.0,5.0,15.6
2020-03-07,1.3,14.1,12.4,66.0,82.0,56.0,85.51,2.0,0.0,11.0,24.3
2020-03-08,1.3,14.1,12.4,66.0,82.0,56.0,85.51,2.0,0.0,11.0,24.38
2020-03-09,1.67,19.0,15.2,84.0,98.0,52.0,85.44,1.4,0.0,9.0,21.55
2020-03-10,1.67,19.0,14.8,68.0,94.0,43.0,85.48,2.2,0.0,9.0,21.62
2020-03-11,1.66,17.7,15.7,67.0,98.0,42.0,85.31,1.5,0.0,10.0,23.14
2020-03-12,1.71,22.0,14.9,69.0,98.0,38.0,85.04,1.4,0.0,10.0,23.21
2020-03-13,1.63,20.1,14.3,61.0,86.0,36.0,85.07,1.4,0.0,10.0,23.27
2020-03-14,1.59,18.1,15.1,73.0,94.0,40.0,85.27,0.3,0.0,10.0,23.34
2020-03-15,1.59,18.1,15.1,73.0,94.0,40.0,85.27,0.3,0.0,10.0,23.4
2020-03-16,1.88,20.9,17.0,78.0,92.0,53.0,85.37,1.1,14.5,15.0,30.82
2020-03-17,1.61,17.9,14.3,64.0,96.0,43.0,85.24,2.7,0.0,8.4,21.17
2020-03-18,1.65,19.8,13.2,64.0,96.0,40.0,85.23,2.8,0.0,7.8,20.34
2020-03-19,1.61,19.9,13.6,61.0,96.0,40.0,85.28,2.9,0.0,7.0,19.21
2020-03-20,1.61,19.3,13.1,58.0,96.0,37.0,85.31,0.9,0.0,8.0,20.74
2020-03-21,1.77,19.6,14.9,77.0,92.0,50.0,85.48,3.0,0.0,11.0,25.25
2020-03-22,1.65,18.6,15.6,73.0,96.0,38.0,85.31,3.8,0.0,10.4,24.41
2020-03-23,1.86,20.3,16.1,64.0,94.0,46.0,85.31,2.6,0.0,11.6,26.25
2020-03-24,1.64,18.0,13.9,56.0,89.0,37.0,85.22,4.3,0.0,8.6,21.83
2020-03-25,1.76,19.3,14.6,61.0,94.0,41.0,85.06,3.0,0.0,9.0,22.48
2020-03-26,1.8,19.5,15.3,61.0,96.0,43.0,84.96,4.1,0.0,9.6,23.43
2020-03-27,1.55,19.0,13.1,58.0,91.0,36.0,84.94,3.6,0.0,7.6,20.48
2020-03-28,1.48,17.0,13.0,71.0,93.0,43.0,85.03,3.2,0.0,7.0,19.62
2020-03-29,1.29,14.6,11.7,64.0,91.0,39.0,85.12,2.8,0.0,7.0,19.66
2020-03-30,1.48,16.2,12.8,55.0,91.0,37.0,85.13,3.2,0.0,7.4,20.3
2020-03-31,1.42,16.7,12.2,54.0,95.0,33.0,85.01,3.7,0.0,6.6,19.13
