date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-10-01,1.72,19.0,14.2,68.0,96.0,42.0,85.13,1.9,0.0,12.0,25.6
2020-10-02,1.0,12.0,8.0,41.0,62.0,32.0,85.11,1.3,0.0,9.0,21.24
2020-10-03,1.17,12.9,10.7,62.0,74.0,47.0,85.23,2.3,0.0,9.6,22.03
2020-10-04,1.47,15.7,14.0,72.0,94.0,51.0,85.24,1.9,0.0,9.6,21.96
2020-10-05,0.99,10.6,9.2,42.0,62.0,30.0,85.27,2.0,0.0,9.6,21.89
2020-10-06,1.29,17.4,8.8,58.0,96.0,29.0,85.14,1.6,1.3,12.0,25.21
2020-10-07,1.04,13.3,9.0,40.0,65.0,25.0,85.04,1.6,0.0,11.0,23.73
2020-10-08,1.55,18.8,13.4,62.0,91.0,35.0,85.02,2.4,0.0,9.4,21.4
2020-10-09,1.8,20.0,17.2,65.0,94.0,45.0,85.02,2.0,0.0,13.8,27.5
2020-10-10,1.74,17.9,16.8,72.0,90.0,51.0,85.17,2.4,2.9,13.9,27.55
2020-10-11,1.73,19.5,15.4,80.0,96.0,57.0,85.15,2.0,0.0,11.8,24.53
2020-10-12,1.83,19.5,17.0,73.0,94.0,56.0,85.08,2.4,0.0,15.0,28.9
2020-10-13,1.63,18.8,13.8,59.0,94.0,36.0,85.24,2.0,18.8,12.6,25.48
2020-10-14,1.88,20.6,17.2,72.0,96.0,50.0,85.25,2.3,5.0,13.4,26.5
2020-10-15,2.02,21.5,19.2,72.0,96.0,53.0,84.93,1.3,0.9,15.0,28.61
2020-10-16,1.5,19.2,11.6,53.0,94.0,28.0,85.07,0.6,0.0,14.8,28.24
2020-10-17,1.49,15.8,14.3,68.0,82.0,51.0,85.38,1.6,0.0,13.0,25.68
2020-10-18,1.83,19.5,17.0,78.0,96.0,57.0,85.25,1.1,2.6,13.0,25.59
2020-10-19,1.9,20.2,17.8,72.0,94.0,48.0,85.02,1.1,1.0,13.6,26.32
2020-10-20,1.95,21.0,17.5,70.0,96.0,51.0,84.9,1.7,0.0,12.8,25.14
2020-10-21,1.86,21.3,17.0,69.0,96.0,42.0,84.94,1.6,0.1,13.2,25.59
2020-10-22,1.95,21.5,17.9,70.0,96.0,49.0,85.02,2.0,0.0,13.4,25.77
2020-10-23,1.91,20.3,16.1,70.0,91.0,46.0,85.13,0.9,22.9,14.6,27.3
2020-10-24,1.95,20.6,18.6,84.0,96.0,62.0,85.32,1.1,0.0,13.0,25.06
2020-10-25,1.79,19.5,16.8,79.0,96.0,54.0,85.23,0.9,0.0,12.4,24.16
2020-10-26,1.85,20.5,15.9,70.0,96.0,38.0,84.9,3.1,0.0,11.0,22.21
2020-10-27,1.91,20.3,18.1,69.0,94.0,51.0,84.87,2.7,0.0,15.0,27.45
2020-10-28,1.84,19.5,17.1,67.0,90.0,46.0,84.89,2.5,0.0,14.0,26.03
2020-10-29,1.9,20.4,17.4,67.0,91.0,45.0,85.03,2.4,0.0,15.0,27.25
2020-10-30,1.7,18.7,14.5,65.0,92.0,47.0,85.18,1.3,0.0,14.0,25.84
2020-10-31,1.6,16.9,15.4,75.0,96.0,50.0,85.41,1.6,0.0,12.0,23.13
